Epoch:  1 , loss =  0.6490644812583923 , accuracy =  0.8387666940689087
Epoch:  2 , loss =  0.3368707299232483 , accuracy =  0.9061166644096375
Epoch:  3 , loss =  0.2895929217338562 , accuracy =  0.9189833402633667
Epoch:  4 , loss =  0.2600552439689636 , accuracy =  0.927216649055481
Epoch:  5 , loss =  0.23704645037651062 , accuracy =  0.933650016784668
Epoch:  6 , loss =  0.21807853877544403 , accuracy =  0.9399333596229553
Epoch:  7 , loss =  0.20220768451690674 , accuracy =  0.9434499740600586
Epoch:  8 , loss =  0.18848730623722076 , accuracy =  0.9475333094596863
Epoch:  9 , loss =  0.1766091287136078 , accuracy =  0.9505166411399841
Epoch:  10 , loss =  0.16599038243293762 , accuracy =  0.9533833265304565
Epoch:  11 , loss =  0.1567874550819397 , accuracy =  0.9562166929244995
Epoch:  12 , loss =  0.14852045476436615 , accuracy =  0.9588666558265686
Epoch:  13 , loss =  0.14065168797969818 , accuracy =  0.9612666964530945
Epoch:  14 , loss =  0.13427284359931946 , accuracy =  0.9628666639328003
Epoch:  15 , loss =  0.12794367969036102 , accuracy =  0.9648666381835938
Epoch:  16 , loss =  0.1223849430680275 , accuracy =  0.9666666388511658
Epoch:  17 , loss =  0.11740550398826599 , accuracy =  0.9679666757583618
Epoch:  18 , loss =  0.11255927383899689 , accuracy =  0.9692500233650208
Epoch:  19 , loss =  0.10807382315397263 , accuracy =  0.9702666401863098
Epoch:  20 , loss =  0.10412628948688507 , accuracy =  0.9713333249092102
Epoch:  21 , loss =  0.10051377862691879 , accuracy =  0.9727500081062317
Epoch:  22 , loss =  0.09682878106832504 , accuracy =  0.9738333225250244
Epoch:  23 , loss =  0.09363561868667603 , accuracy =  0.9747499823570251
Epoch:  24 , loss =  0.09068808704614639 , accuracy =  0.975350022315979
Epoch:  25 , loss =  0.08792968839406967 , accuracy =  0.975933313369751
Epoch:  26 , loss =  0.08523491024971008 , accuracy =  0.9769166707992554
Epoch:  27 , loss =  0.08252806961536407 , accuracy =  0.9776333570480347
Epoch:  28 , loss =  0.08031149208545685 , accuracy =  0.9780499935150146
Epoch:  29 , loss =  0.07793199270963669 , accuracy =  0.9790499806404114
Epoch:  30 , loss =  0.07590741664171219 , accuracy =  0.9794833064079285
Epoch:  31 , loss =  0.07381056994199753 , accuracy =  0.9797666668891907
Epoch:  32 , loss =  0.0716419368982315 , accuracy =  0.9806833267211914
Epoch:  33 , loss =  0.06994380056858063 , accuracy =  0.9811000227928162
Epoch:  34 , loss =  0.06826037913560867 , accuracy =  0.9813833236694336
Epoch:  35 , loss =  0.06650100648403168 , accuracy =  0.9821000099182129
Epoch:  36 , loss =  0.06484764069318771 , accuracy =  0.9827666878700256
Epoch:  37 , loss =  0.06350161880254745 , accuracy =  0.98294997215271
Epoch:  38 , loss =  0.061806827783584595 , accuracy =  0.9833833575248718
Epoch:  39 , loss =  0.06048044189810753 , accuracy =  0.9838333129882812
Epoch:  40 , loss =  0.059133317321538925 , accuracy =  0.9842833280563354
Epoch:  41 , loss =  0.05766883119940758 , accuracy =  0.9846166372299194
Epoch:  42 , loss =  0.05648212134838104 , accuracy =  0.9851166605949402
Epoch:  43 , loss =  0.05509241670370102 , accuracy =  0.9857833385467529
Epoch:  44 , loss =  0.053958021104335785 , accuracy =  0.9859833121299744
Epoch:  45 , loss =  0.052871495485305786 , accuracy =  0.98621666431427
Epoch:  46 , loss =  0.051776230335235596 , accuracy =  0.986383318901062
Epoch:  47 , loss =  0.05071317404508591 , accuracy =  0.9868666529655457
Epoch:  48 , loss =  0.049619391560554504 , accuracy =  0.9874500036239624
Epoch:  49 , loss =  0.0486220121383667 , accuracy =  0.9876499772071838
Epoch:  50 , loss =  0.04767230153083801 , accuracy =  0.987583339214325
Epoch:  51 , loss =  0.04660136625170708 , accuracy =  0.9881166815757751
Epoch:  52 , loss =  0.04572451487183571 , accuracy =  0.9884499907493591
Epoch:  53 , loss =  0.044803693890571594 , accuracy =  0.9889000058174133
Epoch:  54 , loss =  0.04404916241765022 , accuracy =  0.9888499975204468
test loss =  0.0774754211306572 , test accuracy =  0.9760000109672546
